strategy,total_return,cagr,sharpe_ratio,annualized_volatility,max_drawdown,average_turnover,final_portfolio_value,positive_days,negative_days
rsi_filter,0.1728413418811647,1.0521911104834327,2.112256299530315,0.2493726565529318,-0.1310576932255019,0.14814814814814814,117284.13418811647,18,20
buy_and_hold,0.008732113945427264,0.0399830811030788,0.35830275692982766,0.6204213300168553,-0.27694428384576186,0.006172839506172839,100873.21139454273,43,38
oversold_filter,-0.00020644004408677574,-0.0009305545454983966,0.26633892978818763,0.5073431926672661,-0.2808680117343637,0.2222222222222222,99979.35599559132,21,24
btc_regime_filter,-0.15287593891699522,-0.5267458613706948,-0.9796810347267174,0.4255847447487779,-0.2514736540442929,0.16049382716049382,84712.40610830048,17,17
volatility_filter,-0.19048668531792762,-0.614381193956652,-1.0566650655416883,0.5012949694188436,-0.2536580626666465,0.35185185185185186,80951.33146820724,35,38
baseline_mean_reversion,-0.19394887062360955,-0.6217624466489295,-0.7473964161090044,0.6258298912673605,-0.3048433637728594,0.41358024691358025,80605.11293763905,41,37
