symbol,days_weight_pos,days_weight_neg,days_weight_zero,avg_weight_applied,total_gross_contrib,pos_contrib_days,neg_contrib_days
ADA/USD,11,0,19,0.18333333333333332,0.08595244409729841,7,4
AVAX/USD,11,0,19,0.18333333333333332,0.015392329589878684,5,6
BTC/USD,9,0,21,0.15,0.0006190367660499629,5,4
DOGE/USD,4,0,26,0.06666666666666667,0.04524723923885954,4,0
ETH/USD,10,0,20,0.16666666666666666,-0.019791689616037056,5,5
LINK/USD,9,0,21,0.15,-0.0532037001173713,3,6
SOL/USD,1,0,29,0.016666666666666666,0.008974191012708022,1,0
XRP/USD,3,0,27,0.05,0.01560303086915693,2,1
