strategy,total_return,cagr,sharpe_ratio,annualized_volatility,max_drawdown,average_turnover,final_portfolio_value,positive_days,negative_days
buy_and_hold,0.008732113945427264,0.0399830811030788,0.35830275692982766,0.6204213300168553,-0.27694428384576186,0.006172839506172839,100873.21139454273,43,38
momentum_3d,-0.10477619518445805,-0.3929181886783344,-0.2534798684341821,0.6175020474993179,-0.3095049938504166,0.43209876543209874,89522.3804815542,36,42
top3_momentum,-0.18441257324387886,-0.6011609881525584,-0.9710074785054328,0.5169853111253425,-0.29757479149081023,0.32304526748971196,81558.74267561211,24,42
volatility_scaling,-0.18579646113072273,-0.604203555002826,-1.347960138389742,0.41104909752436364,-0.28749060226320206,0.34901385850748573,81420.35388692773,30,28
top2_momentum,-0.1928795914424173,-0.6194946234500823,-0.9751545657789104,0.537606339897667,-0.3272440835350533,0.35185185185185186,80712.04085575827,23,43
btc_market_filter,-0.25990332954046097,-0.7426123322035497,-2.555994380752746,0.34237273417694636,-0.32031123524970134,0.2037037037037037,74009.6670459539,12,22
trend_filter,-0.26087798739361284,-0.7441372733587738,-1.7767843634140235,0.465982048038952,-0.3503626198398618,0.20987654320987653,73912.20126063871,19,26
